Cancer group/site,Year,Sex,State or Territory,Count
Melanoma of the skin,2007,Males,Australia,"6,034"
Melanoma of the skin,2007,Females,Australia,"4,400"
Melanoma of the skin,2007,Persons,Australia,"10,434"
Melanoma of the skin,2008,Males,Australia,"6,529"
Melanoma of the skin,2008,Females,Australia,"4,606"
Melanoma of the skin,2008,Persons,Australia,"11,135"
Melanoma of the skin,2009,Males,Australia,"6,598"
Melanoma of the skin,2009,Females,Australia,"4,708"
Melanoma of the skin,2009,Persons,Australia,"11,306"
Melanoma of the skin,2010,Males,Australia,"6,796"
Melanoma of the skin,2010,Females,Australia,"4,703"
Melanoma of the skin,2010,Persons,Australia,"11,499"
Melanoma of the skin,2011,Males,Australia,"6,800"
Melanoma of the skin,2011,Females,Australia,"4,837"
Melanoma of the skin,2011,Persons,Australia,"11,637"
Melanoma of the skin,2012,Males,Australia,"7,152"
Melanoma of the skin,2012,Females,Australia,"5,081"
Melanoma of the skin,2012,Persons,Australia,"12,233"
Melanoma of the skin,2013,Males,Australia,"7,523"
Melanoma of the skin,2013,Females,Australia,"5,339"
Melanoma of the skin,2013,Persons,Australia,"12,862"
Melanoma of the skin,2014,Males,Australia,"7,705"
Melanoma of the skin,2014,Females,Australia,"5,483"
Melanoma of the skin,2014,Persons,Australia,"13,188"
Melanoma of the skin,2015,Males,Australia,"8,004"
Melanoma of the skin,2015,Females,Australia,"5,714"
Melanoma of the skin,2015,Persons,Australia,"13,718"
Melanoma of the skin,2016,Males,Australia,"8,491"
Melanoma of the skin,2016,Females,Australia,"6,034"
Melanoma of the skin,2016,Persons,Australia,"14,525"
Melanoma of the skin,2017,Males,Australia,"8,833"
Melanoma of the skin,2017,Females,Australia,"6,129"
Melanoma of the skin,2017,Persons,Australia,"14,962"
Melanoma of the skin,2018,Males,Australia,"8,807"
Melanoma of the skin,2018,Females,Australia,"6,315"
Melanoma of the skin,2018,Persons,Australia,"15,123"
Melanoma of the skin,2019,Males,Australia,"9,135"
Melanoma of the skin,2019,Females,Australia,"6,491"
Melanoma of the skin,2019,Persons,Australia,"15,626"
Melanoma of the skin,2020,Males,Australia,"8,546"
Melanoma of the skin,2020,Females,Australia,"6,135"
Melanoma of the skin,2020,Persons,Australia,"14,686"
Melanoma of the skin,2007,Males,Australian Capital Territory,72
Melanoma of the skin,2007,Females,Australian Capital Territory,59
Melanoma of the skin,2007,Persons,Australian Capital Territory,131
Melanoma of the skin,2008,Males,Australian Capital Territory,76
Melanoma of the skin,2008,Females,Australian Capital Territory,62
Melanoma of the skin,2008,Persons,Australian Capital Territory,139
Melanoma of the skin,2009,Males,Australian Capital Territory,77
Melanoma of the skin,2009,Females,Australian Capital Territory,57
Melanoma of the skin,2009,Persons,Australian Capital Territory,135
Melanoma of the skin,2010,Males,Australian Capital Territory,74
Melanoma of the skin,2010,Females,Australian Capital Territory,50
Melanoma of the skin,2010,Persons,Australian Capital Territory,124
Melanoma of the skin,2011,Males,Australian Capital Territory,76
Melanoma of the skin,2011,Females,Australian Capital Territory,48
Melanoma of the skin,2011,Persons,Australian Capital Territory,124
Melanoma of the skin,2012,Males,Australian Capital Territory,79
Melanoma of the skin,2012,Females,Australian Capital Territory,54
Melanoma of the skin,2012,Persons,Australian Capital Territory,132
Melanoma of the skin,2013,Males,Australian Capital Territory,81
Melanoma of the skin,2013,Females,Australian Capital Territory,54
Melanoma of the skin,2013,Persons,Australian Capital Territory,135
Melanoma of the skin,2014,Males,Australian Capital Territory,81
Melanoma of the skin,2014,Females,Australian Capital Territory,63
Melanoma of the skin,2014,Persons,Australian Capital Territory,144
Melanoma of the skin,2015,Males,Australian Capital Territory,84
Melanoma of the skin,2015,Females,Australian Capital Territory,70
Melanoma of the skin,2015,Persons,Australian Capital Territory,153
Melanoma of the skin,2016,Males,Australian Capital Territory,92
